"source","target","complex_interaction_OLD","source_genesymbol_OG","target_genesymbol_OG","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","source_genesymbol","source_genesymbol_subunit_1","source_genesymbol_subunit_2","source_genesymbol_subunit_3","source_genesymbol_subunit_4","source_genesymbol_subunit_5","target_genesymbol","target_genesymbol_subunit_1","target_genesymbol_subunit_2","target_genesymbol_subunit_3","target_genesymbol_subunit_4","target_genesymbol_subunit_5","complex_interaction","method","complex_interaction_rev","is_dupl_undirected"
"P22301","P26842","IL10__CD27","IL10","CD27","","","","","Cellinker","Cellinker:9767422","","","","","","","","","","IL10","IL10",NA,NA,NA,NA,"CD27","CD27",NA,NA,NA,NA,"IL10__CD27","LIANA consensus","CD27__IL10",FALSE
"P22223","P22223","CDH3__CDH3","CDH3","CDH3","","","","","","","","","","","","","","","","CDH3","CDH3",NA,NA,NA,NA,"CDH3","CDH3",NA,NA,NA,NA,"CDH3__CDH3","CellphoneDB extracted, CellChat extracted","CDH3__CDH3",FALSE
"P22105","Q13797_P05556","TNXB__ITGA9_ITGB1","TNXB","ITGA9_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"ITGA9_ITGB1","ITGA9","ITGB1",NA,NA,NA,"TNXB__ITGA9_ITGB1","LIANA consensus, CellChat extracted","ITGA9_ITGB1__TNXB",FALSE
"P22105","P53708_P05556","TNXB__ITGA8_ITGB1","TNXB","ITGA8_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"ITGA8_ITGB1","ITGA8","ITGB1",NA,NA,NA,"TNXB__ITGA8_ITGB1","LIANA consensus, CellChat extracted","ITGA8_ITGB1__TNXB",FALSE
"P22105","P31431","TNXB__SDC4","TNXB","SDC4","","","","","","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"SDC4","SDC4",NA,NA,NA,NA,"TNXB__SDC4","CellChat extracted","SDC4__TNXB",FALSE
"P22105","P18827","TNXB__SDC1","TNXB","SDC1","ecm","CellChatDB","receptor","connectomeDB2020;CellChatDB;CellTalkDB","CellChatDB;Wang","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"SDC1","SDC1",NA,NA,NA,NA,"TNXB__SDC1","LIANA consensus, CellChat extracted","SDC1__TNXB",FALSE
"P22105","P08514_P05106","TNXB__ITGA2B_ITGB3","TNXB","ITGA2B_ITGB3","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"ITGA2B_ITGB3","ITGA2B","ITGB3",NA,NA,NA,"TNXB__ITGA2B_ITGB3","LIANA consensus, CellChat extracted","ITGA2B_ITGB3__TNXB",FALSE
"P22105","P06756_P18564","TNXB__ITGAV_ITGB6","TNXB","ITGAV_ITGB6","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"ITGAV_ITGB6","ITGAV","ITGB6",NA,NA,NA,"TNXB__ITGAV_ITGB6","LIANA consensus, CellChat extracted","ITGAV_ITGB6__TNXB",FALSE
"P22105","P06756_P05106","TNXB__ITGAV_ITGB3","TNXB","ITGAV_ITGB3","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","TNXB","TNXB",NA,NA,NA,NA,"ITGAV_ITGB3","ITGAV","ITGB3",NA,NA,NA,"TNXB__ITGAV_ITGB3","LIANA consensus, CellChat extracted","ITGAV_ITGB3__TNXB",FALSE
"P22004","Q6ZVN8","BMP6__HJV","BMP6","HJV","","","","","CellTalkDB;InnateDB;connectomeDB2020","CellTalkDB:23029472;InnateDB:19252486;connectomeDB2020:23029472","","","","","","","","","","BMP6","BMP6",NA,NA,NA,NA,"HJV","HJV",NA,NA,NA,NA,"BMP6__HJV","LIANA consensus","HJV__BMP6",FALSE
